School,slug
Abilene Christian,abilene-christian
Air Force,air-force
Akron,akron
Alabama,alabama
Alabama A&M,alabama-am
Alabama State,alabama-state
Albany (NY),albany-ny
Alcorn State,alcorn-state
American,american
Appalachian State,appalachian-state
Arizona,arizona
Arizona State,arizona-state
Arkansas,arkansas
Arkansas State,arkansas-state
Arkansas-Pine Bluff,arkansas-pine-bluff
Army,army
Auburn,auburn
Austin Peay,austin-peay
Ball State,ball-state
Baylor,baylor
Bellarmine,bellarmine
Belmont,belmont
Bethune-Cookman,bethune-cookman
Binghamton,binghamton
Boise State,boise-state
Boston College,boston-college
Boston University,boston-university
Bowling Green,bowling-green
Bradley,bradley
Brigham Young,brigham-young
Brown,brown
Bryant,bryant
Bucknell,bucknell
Buffalo,buffalo
Butler,butler
Cal Poly,cal-poly
Cal State Bakersfield,cal-state-bakersfield
Cal State Fullerton,cal-state-fullerton
Cal State Northridge,cal-state-northridge
California,california
California Baptist,california-baptist
Campbell,campbell
Canisius,canisius
Central Arkansas,central-arkansas
Central Connecticut State,central-connecticut-state
Central Michigan,central-michigan
Charleston Southern,charleston-southern
Charlotte,charlotte
Chattanooga,chattanooga
Chicago State,chicago-state
Cincinnati,cincinnati
Clemson,clemson
Cleveland State,cleveland-state
Coastal Carolina,coastal-carolina
Colgate,colgate
College of Charleston,college-of-charleston
Colorado,colorado
Colorado State,colorado-state
Columbia,columbia
Connecticut,connecticut
Coppin State,coppin-state
Cornell,cornell
Creighton,creighton
Dartmouth,dartmouth
Davidson,davidson
Dayton,dayton
Delaware,delaware
Delaware State,delaware-state
Denver,denver
DePaul,depaul
Detroit Mercy,detroit-mercy
Drake,drake
Drexel,drexel
Duke,duke
Duquesne,duquesne
East Carolina,east-carolina
East Tennessee State,east-tennessee-state
East Texas A&M,east-texas-am
Eastern Illinois,eastern-illinois
Eastern Kentucky,eastern-kentucky
Eastern Michigan,eastern-michigan
Eastern Washington,eastern-washington
Elon,elon
Evansville,evansville
Fairfield,fairfield
FDU,fdu
Florida,florida
Florida A&M,florida-am
Florida Atlantic,florida-atlantic
Florida Gulf Coast,florida-gulf-coast
Florida International,florida-international
Florida State,florida-state
Fordham,fordham
Fresno State,fresno-state
Furman,furman
Gardner-Webb,gardner-webb
George Mason,george-mason
George Washington,george-washington
Georgetown,georgetown
Georgia,georgia
Georgia Southern,georgia-southern
Georgia State,georgia-state
Georgia Tech,georgia-tech
Gonzaga,gonzaga
Grambling,grambling
Grand Canyon,grand-canyon
Green Bay,green-bay
Hampton,hampton
Harvard,harvard
Hawaii,hawaii
High Point,high-point
Hofstra,hofstra
Holy Cross,holy-cross
Houston,houston
Houston Christian,houston-christian
Howard,howard
Idaho,idaho
Idaho State,idaho-state
Illinois,illinois
Illinois State,illinois-state
Illinois-Chicago,illinois-chicago
Incarnate Word,incarnate-word
Indiana,indiana
Indiana State,indiana-state
Iona,iona
Iowa,iowa
Iowa State,iowa-state
IU Indy,iu-indy
Jackson State,jackson-state
Jacksonville,jacksonville
Jacksonville State,jacksonville-state
James Madison,james-madison
Kansas,kansas
Kansas City,kansas-city
Kansas State,kansas-state
Kennesaw State,kennesaw-state
Kent State,kent-state
Kentucky,kentucky
La Salle,la-salle
Lafayette,lafayette
Lamar,lamar
Le Moyne,le-moyne
Lehigh,lehigh
Liberty,liberty
Lindenwood,lindenwood
Lipscomb,lipscomb
Little Rock,little-rock
Long Beach State,long-beach-state
Long Island University,long-island-university
Longwood,longwood
Louisiana,louisiana
Louisiana State,louisiana-state
Louisiana Tech,louisiana-tech
Louisiana-Monroe,louisiana-monroe
Louisville,louisville
Loyola (IL),loyola-il
Loyola (MD),loyola-md
Loyola Marymount,loyola-marymount
Maine,maine
Manhattan,manhattan
Marist,marist
Marquette,marquette
Marshall,marshall
Maryland,maryland
Maryland-Baltimore County,maryland-baltimore-county
Maryland-Eastern Shore,maryland-eastern-shore
Massachusetts,massachusetts
Massachusetts-Lowell,massachusetts-lowell
McNeese State,mcneese-state
Memphis,memphis
Mercer,mercer
Mercyhurst,mercyhurst
Merrimack,merrimack
Miami (FL),miami-fl
Miami (OH),miami-oh
Michigan,michigan
Michigan State,michigan-state
Middle Tennessee,middle-tennessee
Milwaukee,milwaukee
Minnesota,minnesota
Mississippi,mississippi
Mississippi State,mississippi-state
Mississippi Valley State,mississippi-valley-state
Missouri,missouri
Missouri State,missouri-state
Monmouth,monmouth
